name,score,description
1-Hydroxy-2-methylnaphthalene,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"Disodium 5,7-dinitro-8-oxido-2- naphthalenesulfonate CI 1036",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
4-Amino-3-nitrophenol,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"Naphthalene-2,7-diol",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
m-Aminophenol and its salts,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"6-Hydroxy-3,4- dimethyl-2-pyridone",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
1-Hydroxy-3-nitro- 4-(3-hydroxypropy lamino)benzene,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
1-[(2′-Methoxye thyl)amino]-2-nitro- 4-[di-(2′-hydroxye thyl)amino]ben zene,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
2-(4-Methyl-2-nitroanilino)ethanol,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"1-Hydroxy-2-beta-hydroxyethylamino-4,6-dinitrobenzene",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
4-Methylaminophenol and its salts,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"1-Propanol, 3-[[4-[bis(2-hydroxyethyl)amino]-2-nitrophenyl]amino]",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
1-(beta-Hydroxyethyl)amino-2-nitro-4-N-ethyl-N-(beta-hydroxyethyl)aminobenzene and its hydrocloride,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"4,4′-[1,3-Propanediylbis(oxy)]bisbenzene-1,3-diamine and its tetrahydrochloride salt",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"3-Amino-2,4-dichlorophenol and its hydrochloride",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
3-Methyl-1-phenyl-5-pyrazolone,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
5-[(2-hydroxyethyl)amino]-o-cresol,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"2,3-Dihydro-2H-1,4-benzoxazin-6-ol",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"1,5-Di-(beta-hydroxyethylamino)-2-nitro-4-chlorobenzene (see note 17)",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"3,5-Diamino-2,6-dimethoxypyridine and its salts",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"Ethanol, 2-[(4-amino-2-methyl-5-nitrophenyl)amino]- and its salts",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
2-[3-(Methylamino)-4-nitrophenoxy]ethanol  (see note 17),-5,Substanta RESTRICTIOANATA in UE (Anexa III)
2-[(2-methoxy-4-nitrophenyl)amino]ethanol and its salts,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
