name,score,description
"4-[(4-Amino-m-tolyl)(4-imino-3-methylcyclohexa-2,5-dien-1-ylidene)methyl]-o-toluidine monohydrochloride",0,Colorant ADMIS in UE (Anexa IV)
"Hydrogen [4-[[4-(diethylamino)phenyl][4-[ethyl[(3-sulphonatobenzyl)amino]-o-tolyl]methylene]-3-methylcyclohexa-2,5-dien-1-ylidene](ethyl)(3-sulphonatobenzyl)ammonium, sodium salt",0,Colorant ADMIS in UE (Anexa IV)
"[4-[[4-Anilino-1-naphthyl][4-(dimethylamino)phenyl]methylene]cyclohexa-2,5-dien-1-ylidene]dimethylammonium chloride",0,Colorant ADMIS in UE (Anexa IV)
"Hydrogen [4-[4-(dimethylamino)-.alpha.-(2-hydroxy-3,6-disulphonato-1-naphthyl)benzylidene]cyclohexa-2,5-dien-1-ylidene]dimethylammonium, monosodium salt",0,Colorant ADMIS in UE (Anexa IV)
"Hydrogen 3,6-bis(diethylamino)-9-(2,4-disulphonatophenyl)xanthylium, sodium salt",0,Colorant ADMIS in UE (Anexa IV)
"Hydrogen 9-(2-carboxylatophenyl)-3-(2-methylanilino)-6-(2-methyl-4-sulphoanilino)xanthylium, monosodium salt",0,Colorant ADMIS in UE (Anexa IV)
"Hydrogen 9-(2,4-disulphonatophenyl)-3,6-bis(ethylamino)-2,7-dimethylxanthylium, monosodium salt",0,Colorant ADMIS in UE (Anexa IV)
Disodium 2-(3-oxo-6-oxidoxanthen-9-yl)benzoate,0,Colorant ADMIS in UE (Anexa IV)
"4',5'-Dibromo-3',6'-dihydroxyspiro[isobenzofuran-1(3H),9'-[9H]xanthene]-3-one and its insoluble barium, strontium and zirconium lakes, salts and pigments",0,Colorant ADMIS in UE (Anexa IV)
"Disodium 2-(2,4,5,7-tetrabromo-6-oxido-3-oxoxanthen-9-yl)benzoate and its insoluble barium, strontium and zirconium lakes, salts and pigments",0,Colorant ADMIS in UE (Anexa IV)
"3',6'-Dihydroxy-4',5'-dinitrospiro[isobenzofuran-1(3H),9'-[9H]xanthene]-3-one",0,Colorant ADMIS in UE (Anexa IV)
"Dipotassium 3,6-dichloro-2-(2,4,5,7-tetrabromo-6-oxido-3-oxoxanthen-9-yl)benzoate",0,Colorant ADMIS in UE (Anexa IV)
"3,4,5,6-Tetrachloro-2-(1,4,5,8-tetrabromo-6-hydroxy-3-oxoxanthen-9-yl)benzoic acid and its insoluble barium, strontium and zirconium lakes, salts and pigments",0,Colorant ADMIS in UE (Anexa IV)
"Disodium 2-(2,4,5,7-tetraiodo-6-oxido-3-oxoxanthen-9-yl)benzoate and its insoluble barium, strontium and zirconium lakes, salts and pigments",0,Colorant ADMIS in UE (Anexa IV)
"1,3-Isobenzofurandione, reaction products with methylquinoline and quinoline",0,Colorant ADMIS in UE (Anexa IV)
"1H-Indene-1,3(2H)-dione, 2-(2-quinolinyl)-, sulfonated, sodium salts",0,Colorant ADMIS in UE (Anexa IV)
"Hydrogen 9-[(3-methoxyphenyl)amino]-7-phenyl-5-(phenylamino)-4,10-disulphonatobenzo[a]phenazinium, sodium salt",0,Colorant ADMIS in UE (Anexa IV)
Sulfonated nigrosine color,0,Colorant ADMIS in UE (Anexa IV)
"8,18-Dichloro-5,15-diethyl-5,15-dihydrodiindolo[3,2-b:3',2'-m]triphenodioxazine",0,Colorant ADMIS in UE (Anexa IV)
"1,2-Dihydroxyanthraquinone",0,Colorant ADMIS in UE (Anexa IV)
"Trisodium 8-hydroxypyrene-1,3,6-trisulphonate",0,Colorant ADMIS in UE (Anexa IV)
1-Anilino-4-hydroxyanthraquinone,0,Colorant ADMIS in UE (Anexa IV)
1-Hydroxy-4-(p-toluidino)anthraquinone,0,Colorant ADMIS in UE (Anexa IV)
"Sodium 4-[(9,10-dihydro-4-hydroxy-9,10-dioxo-1-anthryl)amino]toluene-3-sulphonate",0,Colorant ADMIS in UE (Anexa IV)
"1,4-bis(p-Tolylamino)anthraquinone",0,Colorant ADMIS in UE (Anexa IV)
"Disodium 2,2'-(9,10-dioxoanthracene-1,4-diyldiimino)bis(5-methylsulphonate)",0,Colorant ADMIS in UE (Anexa IV)
"Sodium 3,3'-(9,10-dioxoanthracene-1,4-diyldiimino)bis(2,4,6-trimethylbenzenesulphonate)",0,Colorant ADMIS in UE (Anexa IV)
"Sodium 1-amino-4-(cyclohexylamino)-9,10-dihydro-9,10-dioxoanthracene-2-sulphonate",0,Colorant ADMIS in UE (Anexa IV)
"6,15-Dihydroanthrazine-5,9,14,18-tetrone",0,Colorant ADMIS in UE (Anexa IV)
"7,16-Dichloro-6,15-dihydroanthrazine-5,9,14,18-tetrone",0,Colorant ADMIS in UE (Anexa IV)
"Bisbenzimidazo[2,1-b:2',1'-i]benzo[lmn][3,8]phenanthroline-8,17-dione",0,Colorant ADMIS in UE (Anexa IV)
"2-(1,3-Dihydro-3-oxo-2H-indazol-2-ylidene)-1,2-dihydro-3H-indol-3-one",0,Colorant ADMIS in UE (Anexa IV)
"Disodium 5,5'-(2-(1,3-dihydro-3-oxo-2H-indazol-2-ylidene)-1,2-dihydro-3H-indol-3-one)disulphonate",0,Colorant ADMIS in UE (Anexa IV)
6-Chloro-2-(6-chloro-4-methyl-3-oxobenzo[b]thien-2(3H)-ylidene)-4-methylbenzo[b]thiophene-3(2H)-one,0,Colorant ADMIS in UE (Anexa IV)
5-Chloro-2-(5-chloro-7-methyl-3-oxobenzo[b]thien-2(3H)-ylidene)-7-methylbenzo[b]thiophene-3(2H)-one,0,Colorant ADMIS in UE (Anexa IV)
"5,12-Dihydroquino[2,3-b]acridine-7,14-dione",0,Colorant ADMIS in UE (Anexa IV)
"5,12-Dihydro-2,9-dimethylquino[2,3-b]acridine-7,14-dione",0,Colorant ADMIS in UE (Anexa IV)
"29H,31H-Phthalocyanine",0,Colorant ADMIS in UE (Anexa IV)
"(29H,31H-Phthalocyaninato(2-)-N29,N30,N31,N32)copper",0,Colorant ADMIS in UE (Anexa IV)
"Disodium [29H,31H-phthalocyaninedisulphonato(4-)-N29,N30,N31,N32]cuprate(2-)",0,Colorant ADMIS in UE (Anexa IV)
Polychloro copper phthalocyanine,0,Colorant ADMIS in UE (Anexa IV)
"8,8'-diapo-.psi.,.psi.-Carotenedioic acid",0,Colorant ADMIS in UE (Anexa IV)
Annatto,0,Colorant ADMIS in UE (Anexa IV)
Lycopene,0,Colorant ADMIS in UE (Anexa IV)
CI Food Orange 5,0,Colorant ADMIS in UE (Anexa IV)
(3R)-beta-4-Caroten-3-ol,0,Colorant ADMIS in UE (Anexa IV)
"2-Amino-1,7-dihydro-6H-purin-6-one",0,Colorant ADMIS in UE (Anexa IV)
Curcumins,0,Colorant ADMIS in UE (Anexa IV)
Carmines,0,Colorant ADMIS in UE (Anexa IV)
"Trisodium (2S-trans)-[18-carboxy-20-(carboxymethyl)-13-ethyl-2,3-dihydro-3,7,12,17-tetramethyl-8-vinyl-21H,23H-porphine-2-propionato(5-)-N21,N22,N23,N24]cuprate(3-) (Chlorophylls)",0,Colorant ADMIS in UE (Anexa IV)
Aluminium,0,Colorant ADMIS in UE (Anexa IV)
Aluminium hydroxide sulphate,0,Colorant ADMIS in UE (Anexa IV)
"Natural hydrated aluminium silicate, Al2O3.2SiO2.2H2O, containing calcium, magnesium or iron carbonates, ferric hydroxide, quartz-sand, mica, etc. as impurities",0,Colorant ADMIS in UE (Anexa IV)
Lazurite,0,Colorant ADMIS in UE (Anexa IV)
Aluminum silicate coloured with ferric oxide,0,Colorant ADMIS in UE (Anexa IV)
Barium sulfate,0,Colorant ADMIS in UE (Anexa IV)
Bismuth chloride oxide,0,Colorant ADMIS in UE (Anexa IV)
Calcium carbonate,0,Colorant ADMIS in UE (Anexa IV)
Calcium sulfate,0,Colorant ADMIS in UE (Anexa IV)
carbon black (nano),0,Colorant ADMIS in UE (Anexa IV)
Carbon black,0,Colorant ADMIS in UE (Anexa IV)
"Charcoal, bone. A fine black powder obtained by burning animal bones in a closed container. It consists primarily of calcium phosphate and carbon",0,Colorant ADMIS in UE (Anexa IV)
Coke black,0,Colorant ADMIS in UE (Anexa IV)
Chromium (III) oxide,0,Colorant ADMIS in UE (Anexa IV)
Chromium (III) hydroxide,0,Colorant ADMIS in UE (Anexa IV)
Cobalt Aluminum Oxide,0,Colorant ADMIS in UE (Anexa IV)
Copper,0,Colorant ADMIS in UE (Anexa IV)
Gold,0,Colorant ADMIS in UE (Anexa IV)
Iron oxide,0,Colorant ADMIS in UE (Anexa IV)
Iron Oxide red,0,Colorant ADMIS in UE (Anexa IV)
Iron Oxide Yellow,0,Colorant ADMIS in UE (Anexa IV)
Iron Oxide Black,0,Colorant ADMIS in UE (Anexa IV)
Ferric Ammonium Ferrocyanide,0,Colorant ADMIS in UE (Anexa IV)
Magnesium carbonate,0,Colorant ADMIS in UE (Anexa IV)
Ammonium manganese(3+) diphosphate,0,Colorant ADMIS in UE (Anexa IV)
Trimanganese bis(orthophosphate),0,Colorant ADMIS in UE (Anexa IV)
Silver (powder) [100 nm < particle diameter < 1 mm],0,Colorant ADMIS in UE (Anexa IV)
Titanium Dioxide/CI 77891,0,Colorant ADMIS in UE (Anexa IV)
Zinc oxide,0,Colorant ADMIS in UE (Anexa IV)
Riboflavin,0,Colorant ADMIS in UE (Anexa IV)
Caramel,0,Colorant ADMIS in UE (Anexa IV)
"Paprika extract, Capsanthin, capsorubin",0,Colorant ADMIS in UE (Anexa IV)
Beetroot red,0,Colorant ADMIS in UE (Anexa IV)
"Anthocyanins (Cyanidin, Peonidin, Malvidin, Delphinidin, Petunidin, Pelargonidin)",0,Colorant ADMIS in UE (Anexa IV)
"Aluminium, zinc, magnesium and calcium stearates",0,Colorant ADMIS in UE (Anexa IV)
"Phenol, 4,4'-(3H-2,1-benzoxathiol-3-ylidene)bis[2-bromo-3-methyl-6-(1-methylethyl)-, S,S-dioxide",0,Colorant ADMIS in UE (Anexa IV)
"Phenol, 4,4'-(3H-2,1-benzoxathiol-3-ylidene)bis[2,6-dibromo-3-methyl-,S,S-dioxide",0,Colorant ADMIS in UE (Anexa IV)
"Sodium 4-[(4,5-dihydro-3-methyl-5-oxo-1-phenyl-1H-pyrazol-4-yl)azo]-3-hydroxynaphthalene-1-sulphonate",0,Colorant ADMIS in UE (Anexa IV)
