id,inci_name,score,description,Restriction,Function
17819,OCTAPEPTIDE-39,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
17820,OCTAPEPTIDE-40,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
17821,OCTAPEPTIDE-41,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - MISCELLANEOUS
17822,OCTAPEPTIDE-42,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - MISCELLANEOUS
17823,OCTAPEPTIDE-43 AMIDE,10,Safe ingredient (No EU restrictions),,NOT REPORTED
17824,OCTAPEPTIDE-5,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
17825,OCTAPEPTIDE-6,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
17826,OCTAPEPTIDE-7,10,Safe ingredient (No EU restrictions),,SKIN PROTECTING
17827,OCTAPEPTIDE-8,10,Safe ingredient (No EU restrictions),,SKIN PROTECTING
17828,OCTAPEPTIDE-9,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
17829,OCTATRIENOIC ACID,10,Safe ingredient (No EU restrictions),,ANTIOXIDANT
17830,OCTENE,10,Safe ingredient (No EU restrictions),,SOLVENT
17831,OCTENE HYDROFORMYLATED-DISTILLED,10,Safe ingredient (No EU restrictions),,PERFUMING
17832,OCTENIDINE HCL,10,Safe ingredient (No EU restrictions),,ANTIMICROBIAL
17833,OCTOCRYLENE,5,ALLOWED UV FILTER (Annex VI),VI/10,"LIGHT STABILIZER, UV ABSORBER, UV FILTER"
17834,OCTOPAMINE,-10,PROHIBITED in EU (Annex II),II/21,SKIN CONDITIONING
17835,OCTOXYNOL-1,10,Safe ingredient (No EU restrictions),,"SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING"
17836,OCTOXYNOL-10,10,Safe ingredient (No EU restrictions),,"SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING"
17837,OCTOXYNOL-11,10,Safe ingredient (No EU restrictions),,"SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING"
17838,OCTOXYNOL-12,10,Safe ingredient (No EU restrictions),,SURFACTANT - EMULSIFYING
17839,OCTOXYNOL-13,10,Safe ingredient (No EU restrictions),,"SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING"
17840,OCTOXYNOL-16,10,Safe ingredient (No EU restrictions),,"CLEANSING, SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING"
17841,OCTOXYNOL-20,10,Safe ingredient (No EU restrictions),,"CLEANSING, SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING"
17842,OCTOXYNOL-20 CARBOXYLIC ACID,10,Safe ingredient (No EU restrictions),,"CLEANSING, SURFACTANT - CLEANSING"
17843,OCTOXYNOL-25,10,Safe ingredient (No EU restrictions),,"CLEANSING, SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING"
17844,OCTOXYNOL-3,10,Safe ingredient (No EU restrictions),,"SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING"
17845,OCTOXYNOL-30,10,Safe ingredient (No EU restrictions),,"CLEANSING, SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING"
17846,OCTOXYNOL-33,10,Safe ingredient (No EU restrictions),,"CLEANSING, SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING"
17847,OCTOXYNOL-40,10,Safe ingredient (No EU restrictions),,"CLEANSING, SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING"
17848,OCTOXYNOL-5,10,Safe ingredient (No EU restrictions),,"SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING"
17849,OCTOXYNOL-6,10,Safe ingredient (No EU restrictions),,SURFACTANT - EMULSIFYING
17850,OCTOXYNOL-7,10,Safe ingredient (No EU restrictions),,"SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING"
17851,OCTOXYNOL-70,10,Safe ingredient (No EU restrictions),,"CLEANSING, SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING"
17852,OCTOXYNOL-8,10,Safe ingredient (No EU restrictions),,"SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING"
17853,OCTOXYNOL-9,10,Safe ingredient (No EU restrictions),,"SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING"
17854,OCTOXYNOL-9 CARBOXYLIC ACID,10,Safe ingredient (No EU restrictions),,SURFACTANT - CLEANSING
17855,OCTRIZOLE,10,Safe ingredient (No EU restrictions),,UV ABSORBER
17856,OCTYDODECYL BIS-HYDROXYPROPYL DIMETHICONE CITRATE CROSSPOLYMER,10,Safe ingredient (No EU restrictions),,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT"
17857,OCTYL 2-BUTENOATE,10,Safe ingredient (No EU restrictions),,PERFUMING
17858,OCTYL ACETATE,10,Safe ingredient (No EU restrictions),,PERFUMING
17859,OCTYL ACETATE/MONOMETHYL ACETATE,10,Safe ingredient (No EU restrictions),,PERFUMING
17860,OCTYL FORMATE,10,Safe ingredient (No EU restrictions),,PERFUMING
17861,OCTYL ISOBUTYRATE,10,Safe ingredient (No EU restrictions),,PERFUMING
17862,OCTYL POLYSTYRENE OXIDE/PEG-10 COPOLYMER,10,Safe ingredient (No EU restrictions),,"ANTISTATIC, CHELATING"
17863,OCTYL POLYSTYRENE OXIDE/PEG-10 COPOLYMER PHOSPHATE,10,Safe ingredient (No EU restrictions),,VISCOSITY CONTROLLING
17864,OCTYLACRYLAMIDE/ACRYLATES/BUTYLAMINOETHYL METHACRYLATE COPOLYMER,10,Safe ingredient (No EU restrictions),,"ANTISTATIC, FILM FORMING, HAIR FIXING"
17865,OCTYLDECANOL,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - EMOLLIENT
17866,OCTYLDECYL OLEATE,10,Safe ingredient (No EU restrictions),,SURFACTANT - EMULSIFYING
17867,OCTYLDECYL PHOSPHATE,10,Safe ingredient (No EU restrictions),,SURFACTANT - EMULSIFYING
17868,OCTYLDODECANOL,10,Safe ingredient (No EU restrictions),,"FRAGRANCE, PERFUMING, SKIN CONDITIONING - EMOLLIENT, SOLVENT"
17869,OCTYLDODECETH-10,10,Safe ingredient (No EU restrictions),,"SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING"
17870,OCTYLDODECETH-16,10,Safe ingredient (No EU restrictions),,SURFACTANT - EMULSIFYING
17871,OCTYLDODECETH-2,10,Safe ingredient (No EU restrictions),,SURFACTANT - EMULSIFYING
17872,OCTYLDODECETH-20,10,Safe ingredient (No EU restrictions),,"CLEANSING, SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING"
17873,OCTYLDODECETH-25,10,Safe ingredient (No EU restrictions),,"CLEANSING, SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING"
17874,OCTYLDODECETH-30,10,Safe ingredient (No EU restrictions),,SURFACTANT - CLEANSING
17875,OCTYLDODECETH-5,10,Safe ingredient (No EU restrictions),,SURFACTANT - EMULSIFYING
17876,OCTYLDODECYL AVOCADOATE,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - EMOLLIENT
17877,OCTYLDODECYL BEESWAX,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - EMOLLIENT
17878,OCTYLDODECYL BEHENATE,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - EMOLLIENT
17879,OCTYLDODECYL BENZOATE,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - EMOLLIENT
17880,OCTYLDODECYL CITRATE CROSSPOLYMER,10,Safe ingredient (No EU restrictions),,HUMECTANT
17881,OCTYLDODECYL COCOATE,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - EMOLLIENT
17882,OCTYLDODECYL DILINOLEIC ACID/PROPANEDIOL COPOLYMER,10,Safe ingredient (No EU restrictions),,"FILM FORMING, PLASTICISER, SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT, VISCOSITY CONTROLLING"
17883,OCTYLDODECYL DIMER DILINOLEYL ALCOHOL/SUCCINIC ACID COPOLYMER,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - EMOLLIENT
17884,OCTYLDODECYL ERUCATE,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - EMOLLIENT
17885,OCTYLDODECYL ETHYLHEXANOATE,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - EMOLLIENT
17886,OCTYLDODECYL GLUCOSIDE,10,Safe ingredient (No EU restrictions),,"SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING"
17887,OCTYLDODECYL GLYCOL GRAPESEEDATE,10,Safe ingredient (No EU restrictions),,"HAIR CONDITIONING, SKIN CONDITIONING"
17888,OCTYLDODECYL HYDROXYSTEARATE,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
17889,OCTYLDODECYL ISOSTEARATE,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
17890,OCTYLDODECYL LACTATE,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - EMOLLIENT
