id,inci_name,score,description,Restriction,Function
29614,VIOLA MANDSHURICA FLOWER EXTRACT,10,Safe ingredient (No EU restrictions),,"ANTIOXIDANT, ASTRINGENT"
29615,VIOLA MANDSHURICA FLOWER/SYRINGA VULGARIS/(SOLANUM MELONGENA/VITIS VINIFERA) FRUIT WATER,10,Safe ingredient (No EU restrictions),,"ANTI-SEBUM, ANTIOXIDANT, SKIN CONDITIONING, SKIN PROTECTING"
29616,VIOLA ODORATA CALLUS POWDER,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29617,VIOLA ODORATA EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29618,VIOLA ODORATA FLOWER EXTRACT,10,Safe ingredient (No EU restrictions),,FRAGRANCE
29619,VIOLA ODORATA FLOWER WATER,10,Safe ingredient (No EU restrictions),,"FLAVOURING, FRAGRANCE, PERFUMING"
29620,VIOLA ODORATA FLOWER/LEAF EXTRACT,10,Safe ingredient (No EU restrictions),,"FRAGRANCE, SKIN CONDITIONING, TONIC"
29621,VIOLA ODORATA LEAF CERA,10,Safe ingredient (No EU restrictions),,FRAGRANCE
29622,VIOLA ODORATA LEAF EXTRACT,10,Safe ingredient (No EU restrictions),,FRAGRANCE
29623,VIOLA ODORATA LEAF WAX,10,Safe ingredient (No EU restrictions),,FRAGRANCE
29624,VIOLA ODORATA OIL,10,Safe ingredient (No EU restrictions),,"FRAGRANCE, TONIC"
29625,VIOLA PRIONANTHA POWDER,10,Safe ingredient (No EU restrictions),,"ABRASIVE, FRAGRANCE, SKIN PROTECTING"
29626,VIOLA TRICOLOR EXTRACT,10,Safe ingredient (No EU restrictions),,"SKIN CONDITIONING - EMOLLIENT, SKIN PROTECTING, SOOTHING"
29627,VIOLA TRICOLOR FLOWER JUICE,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29628,VIOLA TRICOLOR FLOWER/LEAF/STEM WATER,10,Safe ingredient (No EU restrictions),,FRAGRANCE
29629,VIOLA YEDOENSIS EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29630,VIOLACEIN,10,Safe ingredient (No EU restrictions),,"ANTIMICROBIAL, ANTIOXIDANT, COLORANT"
29631,VIPER VENOM,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29632,VIROLA SEBIFERA NUT OIL,10,Safe ingredient (No EU restrictions),,"HUMECTANT, SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT"
29633,VIROLA SEBIFERA SEED POWDER,10,Safe ingredient (No EU restrictions),,ABRASIVE
29634,VIROLA SURINAMENSIS SEED BUTTER,10,Safe ingredient (No EU restrictions),,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT"
29635,VIROLA SURINAMENSIS SHELL OIL,10,Safe ingredient (No EU restrictions),,FRAGRANCE
29636,VISCUM ALBUM,10,Safe ingredient (No EU restrictions),,SOOTHING
29637,VISCUM ALBUM (MISTLETOE),10,Safe ingredient (No EU restrictions),,NOT REPORTED
29638,VISCUM ALBUM EXTRACT,10,Safe ingredient (No EU restrictions),,"NAIL CONDITIONING, SKIN CONDITIONING, SOOTHING"
29639,VISCUM ALBUM FRUIT EXTRACT,10,Safe ingredient (No EU restrictions),,SOOTHING
29640,VISCUM ALBUM LEAF EXTRACT,10,Safe ingredient (No EU restrictions),,SOOTHING
29641,VISNADINE,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29642,VISNAGA VERA FRUIT EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29643,VISNAGA VERA FRUIT/STEM EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29644,VITEX AGNUS CASTUS EXTRACT,10,Safe ingredient (No EU restrictions),,ASTRINGENT
29645,VITEX AGNUS CASTUS LEAF CELL EXTRACT,10,Safe ingredient (No EU restrictions),,"FRAGRANCE, SKIN PROTECTING"
29646,VITEX AGNUS CASTUS LEAF OIL,10,Safe ingredient (No EU restrictions),,FRAGRANCE
29647,VITEX AGNUS-CASTUS EXTRACT,10,Safe ingredient (No EU restrictions),,ASTRINGENT
29648,VITEX AGNUS-CASTUS FRUIT EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29649,VITEX AGNUS-CASTUS FRUIT OIL,10,Safe ingredient (No EU restrictions),,"FRAGRANCE, SKIN CONDITIONING"
29650,VITEX AGNUS-CASTUS LEAF CELL EXTRACT,10,Safe ingredient (No EU restrictions),,"FLAVOURING, FRAGRANCE, SKIN PROTECTING"
29651,VITEX AGNUS-CASTUS LEAF OIL,10,Safe ingredient (No EU restrictions),,FRAGRANCE
29652,VITEX NEGUNDO EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29653,VITEX NEGUNDO FLOWER/LEAF/SEED OIL,10,Safe ingredient (No EU restrictions),,"ANTI-SEBUM, ANTIOXIDANT, HAIR DYEING"
29654,VITEX NEGUNDO LEAF CELL EXTRACT,10,Safe ingredient (No EU restrictions),,"FRAGRANCE, SKIN PROTECTING"
29655,VITEX ROTUNDIFOLIA CALLUS EXTRACT,10,Safe ingredient (No EU restrictions),,"ANTIOXIDANT, SKIN CONDITIONING, SKIN PROTECTING"
29656,VITEX ROTUNDIFOLIA FRUIT OIL,10,Safe ingredient (No EU restrictions),,"HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING"
29657,VITEX ROTUNDIFOLIA LEAF OIL,10,Safe ingredient (No EU restrictions),,ANTIOXIDANT
29658,VITEX ROTUNDIFOLIA SEED EXTRACT,10,Safe ingredient (No EU restrictions),,"ANTIOXIDANT, HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING"
29659,VITEX TRIFOLIA EXTRACT,10,Safe ingredient (No EU restrictions),,"SKIN CONDITIONING, SKIN PROTECTING"
29660,VITEX TRIFOLIA FRUIT EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29661,VITEXIN,10,Safe ingredient (No EU restrictions),,"ANTIOXIDANT, HUMECTANT, SKIN CONDITIONING - HUMECTANT, SKIN PROTECTING"
29662,VITIS AMURENSIS ROOT EXTRACT,10,Safe ingredient (No EU restrictions),,"ANTIMICROBIAL, ANTIOXIDANT, HAIR CONDITIONING, HUMECTANT, SKIN PROTECTING"
29663,VITIS COIGNETIAE CALLUS CULTURE CONDITIONED MEDIA,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29664,VITIS COIGNETIAE FRUIT EXTRACT,10,Safe ingredient (No EU restrictions),,"ANTIOXIDANT, DEODORANT, HUMECTANT, SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT"
29665,VITIS COIGNETIAE SAP,10,Safe ingredient (No EU restrictions),,"ANTIOXIDANT, HUMECTANT, SKIN CONDITIONING"
29666,VITIS COIGNETIAE/VINIFERA SEED OIL,10,Safe ingredient (No EU restrictions),,HUMECTANT
29667,VITIS FICIFOLIA FRUIT EXTRACT,10,Safe ingredient (No EU restrictions),,HUMECTANT
29668,VITIS FICIFOLIA LEAF EXTRACT,10,Safe ingredient (No EU restrictions),,HUMECTANT
29669,VITIS FLEXUOSA STEM EXTRACT,10,Safe ingredient (No EU restrictions),,"HUMECTANT, SKIN CONDITIONING"
29670,VITIS LABRUSCA FRUIT EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29671,VITIS LABRUSCA FRUIT WATER,10,Safe ingredient (No EU restrictions),,FRAGRANCE
29672,VITIS LABRUSCA SEEDCAKE POWDER,10,Safe ingredient (No EU restrictions),,ASTRINGENT
29673,VITIS LABRUSCA STEM EXTRACT,10,Safe ingredient (No EU restrictions),,"ANTIOXIDANT, SKIN CONDITIONING"
29674,VITIS LABRUSCA VINE SAP,10,Safe ingredient (No EU restrictions),,"HUMECTANT, SKIN CONDITIONING"
29675,VITIS ROTUNDIFOLIA CALLUS EXTRACT,10,Safe ingredient (No EU restrictions),,ANTIOXIDANT
29676,VITIS ROTUNDIFOLIA FRUIT EXTRACT,10,Safe ingredient (No EU restrictions),,"HAIR CONDITIONING, SKIN CONDITIONING"
29677,VITIS ROTUNDIFOLIA SEED EXTRACT,10,Safe ingredient (No EU restrictions),,"ANTIOXIDANT, SKIN CONDITIONING"
29678,VITIS VINIFERA,10,Safe ingredient (No EU restrictions),,"FRAGRANCE, SKIN PROTECTING"
29679,VITIS VINIFERA BUD EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29680,VITIS VINIFERA CALLUS CULTURE CONDITIONED MEDIA,10,Safe ingredient (No EU restrictions),,"ANTIOXIDANT, SKIN PROTECTING"
29681,VITIS VINIFERA CALLUS CULTURE EXTRACT,10,Safe ingredient (No EU restrictions),,NOT REPORTED
29682,VITIS VINIFERA CALLUS EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN PROTECTING
29683,VITIS VINIFERA CALLUS POWDER,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29684,VITIS VINIFERA FLOWER CELL EXTRACT,10,Safe ingredient (No EU restrictions),,"FRAGRANCE, SKIN PROTECTING"
29685,VITIS VINIFERA FLOWER EXTRACT,10,Safe ingredient (No EU restrictions),,"FRAGRANCE, SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT"
29686,VITIS VINIFERA FRUIT CELL EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29687,VITIS VINIFERA FRUIT EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29688,VITIS VINIFERA FRUIT JUICE FERMENT LEES OIL,10,Safe ingredient (No EU restrictions),,"FRAGRANCE, PERFUMING"
29689,VITIS VINIFERA FRUIT MERISTEM CELL CULTURE,10,Safe ingredient (No EU restrictions),,"ANTIOXIDANT, SKIN PROTECTING"
29690,VITIS VINIFERA FRUIT POWDER,10,Safe ingredient (No EU restrictions),,"ANTIOXIDANT, SKIN CONDITIONING"
29691,VITIS VINIFERA FRUIT WATER,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29692,VITIS VINIFERA JUICE,10,Safe ingredient (No EU restrictions),,"ANTIOXIDANT, SKIN CONDITIONING"
29693,VITIS VINIFERA JUICE EXTRACT,10,Safe ingredient (No EU restrictions),,"ANTIOXIDANT, SKIN CONDITIONING"
29694,VITIS VINIFERA LEAF CERA,10,Safe ingredient (No EU restrictions),,SKIN PROTECTING
29695,VITIS VINIFERA LEAF EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29696,VITIS VINIFERA LEAF OIL,10,Safe ingredient (No EU restrictions),,FRAGRANCE
29697,VITIS VINIFERA LEAF WATER,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29698,VITIS VINIFERA LEAF WAX,10,Safe ingredient (No EU restrictions),,NOT REPORTED
29699,VITIS VINIFERA LEAF/SEED/SKIN EXTRACT,10,Safe ingredient (No EU restrictions),,ANTIOXIDANT
29700,VITIS VINIFERA ROOT EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29701,VITIS VINIFERA SEED,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29702,VITIS VINIFERA SEED EXTRACT,10,Safe ingredient (No EU restrictions),,"ANTI-SEBORRHEIC, ANTIMICROBIAL, ANTIOXIDANT, ORAL CARE, SKIN PROTECTING, UV ABSORBER"
29703,VITIS VINIFERA SEED OIL,10,Safe ingredient (No EU restrictions),,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT"
29704,VITIS VINIFERA SEED POWDER,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - EMOLLIENT
29705,VITIS VINIFERA SEED/SKIN/STEM EXTRACT,10,Safe ingredient (No EU restrictions),,ANTIOXIDANT
29706,VITIS VINIFERA SHOOT EXTRACT,10,Safe ingredient (No EU restrictions),,"ANTIOXIDANT, SKIN PROTECTING"
29707,VITIS VINIFERA SKIN EXTRACT,10,Safe ingredient (No EU restrictions),,ANTIOXIDANT
29708,VITIS VINIFERA SKIN POWDER,10,Safe ingredient (No EU restrictions),,"ANTIOXIDANT, SKIN CONDITIONING"
29709,VITIS VINIFERA STEM EXTRACT,10,Safe ingredient (No EU restrictions),,"SKIN CONDITIONING, SKIN PROTECTING"
29710,VITIS VINIFERA VINE EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29711,VITIS VINIFERA VINE SAP,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29712,VITIS VINIFERA/LABRUSCA FRUIT EXTRACT,10,Safe ingredient (No EU restrictions),,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT"
29713,VITIS VINIFERA/LABRUSCA STEM EXTRACT,10,Safe ingredient (No EU restrictions),,"ANTI-SEBUM, HUMECTANT, SKIN PROTECTING, SOLVENT"
29714,VITIS VINIFERA/LABRUSCANA LEAF EXTRACT,10,Safe ingredient (No EU restrictions),,HUMECTANT
29715,VITREOSCILLA FERMENT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29716,VIVERRA CIVETTA,10,Safe ingredient (No EU restrictions),,PERFUMING
29717,VOACANGA AFRICANA SEED EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN PROTECTING
29718,VOANDZEIA SUBTERRANEA SEED EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29719,VOLCANIC ASH,10,Safe ingredient (No EU restrictions),,"ABRASIVE, ABSORBENT, BULKING"
29720,VOLCANIC ASH EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29721,VOLCANIC ROCK,10,Safe ingredient (No EU restrictions),,"ABRASIVE, ANTIOXIDANT, BINDING, REDUCING"
29722,VOLCANIC ROCK EXTRACT,10,Safe ingredient (No EU restrictions),,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT"
29723,VOLCANIC ROCK POWDER,10,Safe ingredient (No EU restrictions),,"DEODORANT, HUMECTANT, SKIN PROTECTING"
29724,VOLCANIC SAND,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29725,VOLCANIC SOIL,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29726,VOLCANIC SOIL EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29727,VP/ACRYLATES/LAURYL METHACRYLATE COPOLYMER,10,Safe ingredient (No EU restrictions),,HAIR FIXING
29728,VP/DIMETHICONYLACRYLATE/POLYCARBAMYL POLYGLYCOL ESTER,10,Safe ingredient (No EU restrictions),,FILM FORMING
29729,VP/DIMETHYLAMINOETHYLMETHACRYLATE COPOLYMER,10,Safe ingredient (No EU restrictions),,"BINDING, FILM FORMING, HAIR FIXING"
29730,VP/DIMETHYLAMINOETHYLMETHACRYLATE/POLYCARBAMYL POLYGLYCOL ESTER,10,Safe ingredient (No EU restrictions),,FILM FORMING
29731,VP/DMAPA ACRYLATES COPOLYMER,10,Safe ingredient (No EU restrictions),,HAIR FIXING
29732,VP/EICOSENE COPOLYMER,10,Safe ingredient (No EU restrictions),,"BINDING, FILM FORMING, VISCOSITY CONTROLLING"
29733,VP/HEXADECENE COPOLYMER,10,Safe ingredient (No EU restrictions),,"BINDING, DISPERSING NON-SURFACTANT, FILM FORMING, HAIR FIXING, VISCOSITY CONTROLLING"
29734,VP/METHACRYLAMIDE/VINYL IMIDAZOLE COPOLYMER,10,Safe ingredient (No EU restrictions),,"FILM FORMING, HAIR FIXING"
29735,VP/POLYCARBAMYL POLYGLYCOL ESTER,10,Safe ingredient (No EU restrictions),,FILM FORMING
29736,VP/VA COPOLYMER,10,Safe ingredient (No EU restrictions),,"BINDING, FILM FORMING, HAIR FIXING"
29737,VP/VINYL ALCOHOL COPOLYMER,10,Safe ingredient (No EU restrictions),,"FILM FORMING, HAIR FIXING, HUMECTANT, VISCOSITY CONTROLLING"
29738,VP/VINYL CAPROLACTAM/DMAPA ACRYLATES COPOLYMER,10,Safe ingredient (No EU restrictions),,HAIR FIXING
29739,VULPIA MYUROS EXTRACT,10,Safe ingredient (No EU restrictions),,ANTIOXIDANT
29740,WALTHERIA INDICA LEAF EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29741,WASABIA JAPONICA FLOWER EXTRACT,10,Safe ingredient (No EU restrictions),,"HUMECTANT, SKIN PROTECTING"
29742,WASABIA JAPONICA LEAF EXTRACT,10,Safe ingredient (No EU restrictions),,ANTIMICROBIAL
29743,WASABIA JAPONICA ROOT EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29744,WASABIA JAPONICA ROOT POWDER,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29745,WASABIA JAPONICA ROOT/BRASSICA (JUNCEA/OLERACEA CAPITATA/OLERACEA ITALICA/OLERACEA BOTRYTIS/OLERACEA ACEPHALA) SPROUT EXTRACT,10,Safe ingredient (No EU restrictions),,ANTIOXIDANT
29746,WATANABEA RENIFORMIS OIL,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29747,WATER,10,Safe ingredient (No EU restrictions),,"ANTIPLAQUE, SKIN CONDITIONING, SOLVENT"
29748,WATER BUFFALO HORN EXTRACT,10,Safe ingredient (No EU restrictions),,HUMECTANT
29749,WATERMELON SEED OIL PEG-8 ESTERS,10,Safe ingredient (No EU restrictions),,"SKIN CONDITIONING, SURFACTANT - EMULSIFYING"
29750,WATERMELON SEED OIL POLYGLYCERYL-10 ESTERS,10,Safe ingredient (No EU restrictions),,"SKIN CONDITIONING, SURFACTANT - EMULSIFYING"
29751,WATERMELON SEED OIL POLYGLYCERYL-6 ESTERS,10,Safe ingredient (No EU restrictions),,"SKIN CONDITIONING, SURFACTANT - EMULSIFYING"
29752,WEDELIA CALENDULACEA EXTRACT,10,Safe ingredient (No EU restrictions),,"HUMECTANT, SKIN CONDITIONING"
29753,WEISSELLA CIBARIA FERMENT LYSATE EXTRACT,10,Safe ingredient (No EU restrictions),,"HUMECTANT, SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT"
29754,WEISSELLA CONFUSA FERMENT EXTRACT FILTRATE,10,Safe ingredient (No EU restrictions),,ANTIOXIDANT
29755,WELAN GUM,10,Safe ingredient (No EU restrictions),,"BINDING, EMULSION STABILISING, FILM FORMING, VISCOSITY CONTROLLING"
29756,WHALE OIL,10,Safe ingredient (No EU restrictions),,"HAIR CONDITIONING, SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT"
29757,WHEAT AMINO ACIDS,10,Safe ingredient (No EU restrictions),,"HAIR CONDITIONING, SKIN CONDITIONING, SKIN PROTECTING, SOOTHING"
29758,WHEAT GERM ACID,10,Safe ingredient (No EU restrictions),,"CLEANSING, SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT, SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING"
29759,WHEAT GERM GLYCERIDES,10,Safe ingredient (No EU restrictions),,"REFATTING, SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT"
29760,WHEAT GERM OIL GLYCERETH-8 ESTERS,10,Safe ingredient (No EU restrictions),,"SKIN CONDITIONING - EMOLLIENT, SURFACTANT - EMULSIFYING"
29761,WHEAT GERM OIL PEG-40 BUTYLOCTANOL ESTERS,10,Safe ingredient (No EU restrictions),,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT"
29762,WHEAT GERM OIL PEG-8 ESTERS,10,Safe ingredient (No EU restrictions),,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT, SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING"
29763,WHEAT GERM OIL/PALM OIL AMINOPROPANEDIOL ESTERS,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29764,WHEAT GERMAMIDE DEA,-5,RESTRICTED in EU (Annex III),III/60,"SKIN CONDITIONING, SURFACTANT - CLEANSING, SURFACTANT - FOAM BOOSTING, VISCOSITY CONTROLLING"
29765,WHEAT GERMAMIDOPROPALKONIUM CHLORIDE,10,Safe ingredient (No EU restrictions),,"ANTISTATIC, HAIR CONDITIONING"
29766,WHEAT GERMAMIDOPROPYL BETAINE,10,Safe ingredient (No EU restrictions),,"ANTISTATIC, CLEANSING, HAIR CONDITIONING, SKIN CONDITIONING, SURFACTANT - CLEANSING, SURFACTANT - FOAM BOOSTING, VISCOSITY CONTROLLING"
29767,WHEAT GERMAMIDOPROPYL DIMETHYLAMINE,10,Safe ingredient (No EU restrictions),,"ANTISTATIC, SURFACTANT - CLEANSING"
29768,WHEAT GERMAMIDOPROPYL DIMETHYLAMINE LACTATE,10,Safe ingredient (No EU restrictions),,"ANTISTATIC, SURFACTANT - CLEANSING"
29769,WHEAT GERMAMIDOPROPYL EPOXYPROPYLDIMONIUM CHLORIDE,10,Safe ingredient (No EU restrictions),,"ANTISTATIC, HAIR CONDITIONING"
29770,WHEAT GERMAMIDOPROPYLAMINE OXIDE,10,Safe ingredient (No EU restrictions),,"ANTISTATIC, CLEANSING, HAIR CONDITIONING, SURFACTANT - CLEANSING, SURFACTANT - FOAM BOOSTING, SURFACTANT - HYDROTROPE"
29771,WHEAT GERMAMIDOPROPYLDIMONIUM HYDROXYPROPYL HYDROLYZED OAT PROTEIN,10,Safe ingredient (No EU restrictions),,"ANTISTATIC, HAIR CONDITIONING"
29772,WHEAT GERMAMIDOPROPYLDIMONIUM HYDROXYPROPYL HYDROLYZED WHEAT PROTEIN,10,Safe ingredient (No EU restrictions),,"ANTISTATIC, HAIR CONDITIONING"
29773,WHEATGERMAMIDOPROPYL DIMETHYLAMINE HYDROLYZED COLLAGEN,10,Safe ingredient (No EU restrictions),,"ANTISTATIC, HAIR CONDITIONING, SKIN CONDITIONING"
29774,WHEATGERMAMIDOPROPYL DIMETHYLAMINE HYDROLYZED WHEAT PROTEIN,10,Safe ingredient (No EU restrictions),,"ANTISTATIC, HAIR CONDITIONING, SKIN CONDITIONING"
29775,WHEATGERMAMIDOPROPYL ETHYLDIMONIUM ETHOSULFATE,10,Safe ingredient (No EU restrictions),,"ANTISTATIC, HAIR CONDITIONING"
29776,WHEY,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29777,WHEY EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - EMOLLIENT
29778,WHEY FERMENT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29779,WHEY FILTRATE,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29780,WHEY PROTEIN,10,Safe ingredient (No EU restrictions),,"HAIR CONDITIONING, SKIN CONDITIONING"
29781,WHOLE DRY BUFFALO MILK,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - MISCELLANEOUS
29782,WHOLE DRY DEER MILK,-10,PROHIBITED in EU (Annex II),II/419,SKIN CONDITIONING
29783,WHOLE DRY GOAT MILK,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29784,WHOLE DRY MILK,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29785,WIDDROL,10,Safe ingredient (No EU restrictions),,"ANTIMICROBIAL, ANTIOXIDANT, HAIR CONDITIONING, HUMECTANT, SKIN PROTECTING"
29786,WILD BOAR OIL,10,Safe ingredient (No EU restrictions),,"HUMECTANT, SKIN PROTECTING"
29787,WILD BOAR PLATELET EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29788,WINE,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29789,WINE EXTRACT,10,Safe ingredient (No EU restrictions),,ANTIOXIDANT
29790,WISTERIA BRACHYBOTRYS LEAF EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - EMOLLIENT
29791,WISTERIA FLORIBUNDA FLOWER/LEAF/STEM EXTRACT,10,Safe ingredient (No EU restrictions),,HUMECTANT
29792,WISTERIA SINENSIS EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29793,WITHANIA SOMNIFERA CALLUS EXTRACT,10,Safe ingredient (No EU restrictions),,"SKIN CONDITIONING, SKIN PROTECTING"
29794,WITHANIA SOMNIFERA EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29795,WITHANIA SOMNIFERA FLOWER EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29796,WITHANIA SOMNIFERA LEAF EXTRACT,10,Safe ingredient (No EU restrictions),,"ANTIMICROBIAL, ANTIOXIDANT, BLEACHING, HUMECTANT, SKIN CONDITIONING - EMOLLIENT"
29797,WITHANIA SOMNIFERA LEAF POWDER,10,Safe ingredient (No EU restrictions),,EXFOLIATING
29798,WITHANIA SOMNIFERA LEAF/ROOT EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29799,WITHANIA SOMNIFERA ROOT EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29800,WITHANIA SOMNIFERA ROOT POWDER,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29801,WITHANIA SOMNIFERA SEED EXTRACT,10,Safe ingredient (No EU restrictions),,ANTIOXIDANT
29802,WOGONIN,10,Safe ingredient (No EU restrictions),,BLEACHING
29803,WOLFIPORIA EXTENSA/PRUNUS MUME FRUIT FERMENT LYSATE EXTRACT FILTRATE,10,Safe ingredient (No EU restrictions),,ANTIOXIDANT
29804,WOLLASTONIA DENTATA EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - EMOLLIENT
29805,WOLLASTONITE,10,Safe ingredient (No EU restrictions),,ABRASIVE
29806,WOOD POWDER,10,Safe ingredient (No EU restrictions),,"ABRASIVE, ABSORBENT, BULKING"
29807,WOODFORDIA FRUTICOSA FLOWER EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29808,WOOL,10,Safe ingredient (No EU restrictions),,"HAIR CONDITIONING, SKIN CONDITIONING"
29809,WOOL CUTICLE AMINO ACIDS,10,Safe ingredient (No EU restrictions),,"HAIR CONDITIONING, HUMECTANT, SKIN CONDITIONING"
29810,WOOL EXTRACT,10,Safe ingredient (No EU restrictions),,"FILM FORMING, HAIR CONDITIONING, SKIN CONDITIONING - MISCELLANEOUS"
29811,WOOL POWDER,10,Safe ingredient (No EU restrictions),,"HAIR CONDITIONING, SKIN CONDITIONING"
29812,WRIGHTIA TINCTORIA LEAF OIL,10,Safe ingredient (No EU restrictions),,"ANTI-SEBORRHEIC, ANTIMICROBIAL, HAIR CONDITIONING"
29813,XANTHAN GUM,10,Safe ingredient (No EU restrictions),,"BINDING, EMULSION STABILISING, GEL FORMING, SKIN CONDITIONING, SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING, VISCOSITY CONTROLLING"
29814,XANTHAN GUM CROSSPOLYMER,10,Safe ingredient (No EU restrictions),,"SKIN CONDITIONING, SKIN PROTECTING"
29815,XANTHAN HYDROXYPROPYLTRIMONIUM CHLORIDE,10,Safe ingredient (No EU restrictions),,"HAIR CONDITIONING, HUMECTANT, SKIN CONDITIONING, VISCOSITY CONTROLLING"
29816,XANTHINE,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29817,XANTHIUM SIBIRICUM FRUIT EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29818,XANTHIUM STRUMARIUM FRUIT EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29819,XANTHIUM STRUMARIUM FRUIT/LEAF/STEM EXTRACT,10,Safe ingredient (No EU restrictions),,"HUMECTANT, SKIN PROTECTING"
29820,XANTHOCERAS SORBIFOLIUM SEED OIL,10,Safe ingredient (No EU restrictions),,"ANTIOXIDANT, SKIN CONDITIONING"
29821,XANTHOHUMOL,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
29822,XANTHOPHYLLS,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
