name,score,description
Nitroxoline (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
"Hyoscyamine, its salts and derivatives",-10,Substanta INTERZISA in UE (Anexa II)
"Hyoscyamus niger L. (leaves, seeds, powder and galenical preparations)",-10,Substanta INTERZISA in UE (Anexa II)
Pemoline (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Iodine,-10,Substanta INTERZISA in UE (Anexa II)
"Decamethylenebis(trimethylammonium) salts, e.g. decamethonium bromide (INN)",-10,Substanta INTERZISA in UE (Anexa II)
"Ipecacuanha (Cephaelis ipecacuanha Brot. and related species) (roots, powder and galenical preparations)",-10,Substanta INTERZISA in UE (Anexa II)
(2-Isopropylpent-4-enoyl)urea (apronalide),-10,Substanta INTERZISA in UE (Anexa II)
"alpha-Santonin [(3S,5aR,9bS)-3,3a,4,5,5a,9b-hexahydro-3,5a,9-trimethylnaphto[1,2-b]furan-2,8-dione]",-10,Substanta INTERZISA in UE (Anexa II)
Lobelia inflata L. and its galenical preparations,-10,Substanta INTERZISA in UE (Anexa II)
Lobeline (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Barbiturates,-10,Substanta INTERZISA in UE (Anexa II)
"Mercury and its compounds, except those special cases included in Annex V",-10,Substanta INTERZISA in UE (Anexa II)
"3,4,5-Trimethoxyphenethylamine (Mescaline) and its salts",-10,Substanta INTERZISA in UE (Anexa II)
Metaldehyde,-10,Substanta INTERZISA in UE (Anexa II)
"2-(4-Allyl-2-methoxyphenoxy)-N,N-diethylacetamide and its salts",-10,Substanta INTERZISA in UE (Anexa II)
Coumetarol (INN),-10,Substanta INTERZISA in UE (Anexa II)
Dextromethorphan (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
2-Methylheptylamine and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Isometheptene (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Mecamylamine (INN),-10,Substanta INTERZISA in UE (Anexa II)
Guaifenesin (INN),-10,Substanta INTERZISA in UE (Anexa II)
Dicoumarol (INN),-10,Substanta INTERZISA in UE (Anexa II)
"Phenmetrazine (INN), its derivatives and salts",-10,Substanta INTERZISA in UE (Anexa II)
Thiamazole (INN),-10,Substanta INTERZISA in UE (Anexa II)
"3,4-Dihydro-2-methoxy-2-methyl-4-phenyl-2H,5H-pyrano[3,2-c]-[1]benzopyran-5-one (cyclocoumarol)",-10,Substanta INTERZISA in UE (Anexa II)
Carisoprodol (INN),-10,Substanta INTERZISA in UE (Anexa II)
Meprobamate (INN),-10,Substanta INTERZISA in UE (Anexa II)
Tefazoline (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Arecoline,-10,Substanta INTERZISA in UE (Anexa II)
Poldine metilsulfate (INN),-10,Substanta INTERZISA in UE (Anexa II)
Hydroxyzine (INN),-10,Substanta INTERZISA in UE (Anexa II)
2-Naphthol,-10,Substanta INTERZISA in UE (Anexa II)
1- and 2-Naphthylamines and their salts,-10,Substanta INTERZISA in UE (Anexa II)
3-(1-Naphthyl)-4-hydroxycoumarin,-10,Substanta INTERZISA in UE (Anexa II)
Naphazoline (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Neostigmine and its salts (e.g. neostigmine bromide (INN)),-10,Substanta INTERZISA in UE (Anexa II)
Nicotine and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Amyl nitrites,-10,Substanta INTERZISA in UE (Anexa II)
"Inorganic nitrites, with exception of sodium nitrite",-10,Substanta INTERZISA in UE (Anexa II)
Nitrobenzene,-10,Substanta INTERZISA in UE (Anexa II)
Nitrocresols and their alkali metal salts,-10,Substanta INTERZISA in UE (Anexa II)
Nitrofurantoin (INN),-10,Substanta INTERZISA in UE (Anexa II)
Furazolidone (INN),-10,Substanta INTERZISA in UE (Anexa II)
"Nitroglycerin; Propane-1,2,3-triyl trinitrate",-10,Substanta INTERZISA in UE (Anexa II)
Acenocoumarol (INN),-10,Substanta INTERZISA in UE (Anexa II)
Alkali pentacyanonitrosylferrate (2-),-10,Substanta INTERZISA in UE (Anexa II)
"Nitrostilbenes, their homologues and their derivatives",-10,Substanta INTERZISA in UE (Anexa II)
Noradrenaline and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Noscapine (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Guanethidine (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Oestrogens,-10,Substanta INTERZISA in UE (Anexa II)
Oleandrin,-10,Substanta INTERZISA in UE (Anexa II)
Chlortalidone (INN),-10,Substanta INTERZISA in UE (Anexa II)
Pelletierine and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Pentachloroethane,-10,Substanta INTERZISA in UE (Anexa II)
Pentaerithrityl tetranitrate (INN),-10,Substanta INTERZISA in UE (Anexa II)
Petrichloral (INN),-10,Substanta INTERZISA in UE (Anexa II)
Octamylamine (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Picric acid,-10,Substanta INTERZISA in UE (Anexa II)
Phenacemide (INN),-10,Substanta INTERZISA in UE (Anexa II)
Difencloxazine (INN),-10,Substanta INTERZISA in UE (Anexa II)
